433,48    Cet,9132,182.65,-79.72,5.12,  A1V               
434,98Mu  Psc,9138,140.07,-55.43,4.84,  K4III             
435,,9184,284.52,-68.99,6.31,  M2III             
436,,9228,209.1,-81.25,5.93,  K4III             
437,99Eta Psc,9270,137.01,-46.43,3.62,  G7IIIa            
438,,9298,132.33,-27.33,6.39,  B7IIIpHgMn        
439,,9352,128.44,-4.09,5.7,  K0Ib+B9V          
440,Del Phe,9362,286.27,-66.75,3.95,  K0III             
441,,9377,234.96,-80.63,5.82,  K0III             
442,39Chi Cas,9408,128.35,-3.19,4.71,  G9IIIb            
443,,9414,282.11,-69.89,6.17,  A2V               
444,,9484,153.38,-69.39,6.59,  A0III             
445,,9525,263.48,-76.89,5.51,  K0III             
446,,9531,132.32,-24.85,5.88,  B9IV              
447,,9544,286.4,-66.06,6.28,  F4V               
448,,9562,151.37,-67.53,5.76,  G2IV              
449,,9612,126.09,11.71,6.58,  B9Ve              
450,,9640,137.11,-43.21,5.89,  M2IIIab           
451,49    Cet,9672,166.32,-74.78,5.63,  A3V               
452,,9712,131.88,-21.02,6.38,  K1III             
453,,9742,242.3,-79.43,6.12,  K0-1III           
454,,9746,130.54,-13.48,5.92, gK1                
455,101    Psc,9766,138.71,-46.85,6.22,  B9.5III           
456,40    Cas,9774,126.4,10.49,5.28,  G8III             
457,,9780,137.79,-44.15,5.8,  F0IV              
458,50Ups And,9826,132,-20.66,4.09,  F8V               
459,50    Cet,9856,166.61,-74.36,5.42,  K2IIIaBa0.2CN1    
460,,9896,292.01,-58.05,6.01,  F2V               
461,,9900,129.11,-4.33,5.56,  G5II              
462,Tau Scl,9906,231.37,-79.8,5.69,  F2V               
463,102Pi  Psc,9919,140.16,-49.2,5.57,  F0V               
464,51    And,9927,130.81,-13.53,3.57,  K3-III            
465,,9996,131.53,-16.68,6.36,  B9pCrEu           
466,,10009,156.7,-69.19,6.24,  F7V               
467,,10042,300.26,-38.41,6.11,  K0III             
468,,10052,291.74,-57.86,6.18,  M3III             
469,52Chi And,10072,131.89,-17.65,4.98,  G8III             
470,,10110,130.16,-8.32,6.39,  K5III             
471,,10142,259.18,-76.31,5.94,  K0IV              
472,Alp Eri,10144,290.84,-58.79,0.46,  B3Vpe             
473,,10148,187.04,-77.72,5.58,  A4n               
474,,10161,204.39,-79.16,6.7,  B9Vn              
475,105    Psc,10164,139.37,-44.92,5.97,  K2III             
476,,10204,132.35,-18.67,5.61,sgA9                
477,53Tau And,10205,132.92,-21.34,4.94,  B8III             
478,43    Cas,10221,127.68,5.64,5.59,  A0pSiSr           
479,,10241,287.7,-62.27,6.84,  F5IV-V            
480,42    Cas,10250,127.21,8.18,5.18,  B9V               
481,,10260,129.02,-1.23,6.71,  B8IIIpSi          
482,,10293,129.52,-3.59,6.37,  B8III             
483,,10307,132.7,-19.3,4.95,  G1.5V             
484,,10308,136.8,-35.78,6.17,  F2III             
485,,10348,135.69,-31.58,5.99,  K0III             
486,,10360,289.6,-59.66,5.87,  K0V               
487,,10361,289.6,-59.66,5.76,  K5V               
488,,10362,129.06,-0.84,6.34,  B7II              
489,106Nu  Psc,10380,145.12,-55.22,4.44,  K3IIIbBa0.1       
490,,10390,134.46,-26.49,5.64,  B9IV-V            
491,44    Cas,10425,129.27,-1.68,5.78,  B8IIIn            
492,,10453,162.14,-70.26,5.75,  F5V+F7V           
493,107    Psc,10476,138.88,-41.01,5.24,  K1V               
494,,10481,262.44,-74.8,6.17,  F2V               
495,,10486,132.4,-16.59,6.34,  K2IV              
496,Phi Per,10516,131.32,-11.33,4.07,  B2Vep             
